mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.8501857280731202,0.010595571241391996,0.024312734603881836,0.0002760189920386132,mse,2,1,2,100,"{'criterion': 'mse', 'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.19291984604836965,0.2641370334604778,0.2566122581431922,0.24810775877924063,0.28502579468781,0.24936053822381804,0.030757320954500806,21
3.672882080078125,0.019465504245748014,0.0465888500213623,0.0012728977425223653,mse,2,1,2,200,"{'criterion': 'mse', 'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.1930656957367689,0.2639111305900148,0.2564448295405698,0.24835037089265755,0.28802023628803464,0.24995845260960917,0.03138414057035546,17
1.8370975971221923,0.009033720718366353,0.02378988265991211,0.00022392295288256757,mse,2,1,4,100,"{'criterion': 'mse', 'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 100}",0.19291984604836965,0.2641370334604778,0.2566122581431922,0.24810775877924063,0.28502579468781,0.24936053822381804,0.030757320954500806,21
3.661372661590576,0.019761043597394577,0.046411752700805664,0.0007021578785500912,mse,2,1,4,200,"{'criterion': 'mse', 'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 200}",0.1930656957367689,0.2639111305900148,0.2564448295405698,0.24835037089265755,0.28802023628803464,0.24995845260960917,0.03138414057035546,17
1.8302347660064697,0.011130273321544572,0.024016141891479492,0.0005264990523966436,mse,2,3,2,100,"{'criterion': 'mse', 'max_depth': 2, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 100}",0.19291984604836965,0.2641370334604778,0.2566122581431922,0.24810775877924063,0.28502579468781,0.24936053822381804,0.030757320954500806,21
3.6600412845611574,0.01760430699726822,0.045905017852783205,0.0006471845800156041,mse,2,3,2,200,"{'criterion': 'mse', 'max_depth': 2, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 200}",0.1930656957367689,0.2639111305900148,0.2564448295405698,0.24835037089265755,0.28802023628803464,0.24995845260960917,0.03138414057035546,17
1.8316182136535644,0.011744166701911137,0.023501157760620117,0.0003457228887101747,mse,2,3,4,100,"{'criterion': 'mse', 'max_depth': 2, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 100}",0.19291984604836965,0.2641370334604778,0.2566122581431922,0.24810775877924063,0.28502579468781,0.24936053822381804,0.030757320954500806,21
3.673794174194336,0.019604625238018345,0.046520566940307616,0.0006870886346355928,mse,2,3,4,200,"{'criterion': 'mse', 'max_depth': 2, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 200}",0.1930656957367689,0.2639111305900148,0.2564448295405698,0.24835037089265755,0.28802023628803464,0.24995845260960917,0.03138414057035546,17
3.5053341388702393,0.0254297993357764,0.029273319244384765,0.00046723461174384294,mse,4,1,2,100,"{'criterion': 'mse', 'max_depth': 4, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.27990230549247885,0.3633090734499387,0.37864732522287314,0.3484977055967391,0.39374431691300815,0.3528201453350076,0.03946528475989403,13
7.0169336795806885,0.0359300169118933,0.05627603530883789,0.0006978255206265592,mse,4,1,2,200,"{'criterion': 'mse', 'max_depth': 4, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.2795416053441465,0.3625428653324425,0.3782150946698867,0.34838340517928523,0.39850626624620533,0.3534378473543932,0.040531907646347065,9
3.507698726654053,0.013700790364368451,0.028842592239379884,0.0004379388501543888,mse,4,1,4,100,"{'criterion': 'mse', 'max_depth': 4, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 100}",0.27990918132247866,0.3631157145731464,0.37846629856618397,0.34837760215984226,0.3937207651084196,0.35271791234601413,0.03942658297271731,14
7.012158679962158,0.02906021442790264,0.05632314682006836,0.0005649559647544832,mse,4,1,4,200,"{'criterion': 'mse', 'max_depth': 4, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 200}",0.279544198462473,0.3624786396162042,0.37813304211189047,0.34824925228524706,0.39844000316138384,0.3533690271274398,0.04050667051324845,10
3.4872504234313966,0.022733382583258587,0.02882528305053711,0.00046234067910532384,mse,4,3,2,100,"{'criterion': 'mse', 'max_depth': 4, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 100}",0.2799762330487916,0.3643049548447461,0.37877587017007985,0.35108412657099053,0.3872062949537659,0.3522694959176748,0.038198798492097896,15
6.981634330749512,0.04032200089149828,0.05632495880126953,0.00033716696554132605,mse,4,3,2,200,"{'criterion': 'mse', 'max_depth': 4, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 200}",0.2789820597819932,0.36594846391960856,0.3787385358068873,0.351364055081142,0.3912945536145679,0.3532655336408398,0.03944004824850172,11
3.498142194747925,0.020058568727455213,0.02848362922668457,0.0003227607838403593,mse,4,3,4,100,"{'criterion': 'mse', 'max_depth': 4, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 100}",0.2799762330487916,0.3643049548447461,0.37877587017007985,0.35108412657099053,0.3872062949537659,0.3522694959176748,0.038198798492097896,15
